Model,0,1,2,3,4,5,6,7
AdaBoostClassifier,0.3487832858695417,0.3622141304517181,0.3290992935103738,0.4100921727687283,0.4353948468660365,0.4136909841191003,0.4137959606704204,0.401383868469007
BaggingClassifier,0.4084066748486685,0.5333267303036682,0.4966111065218548,0.5188264427684924,0.4110186356173353,0.4311757489084891,0.5289644901380686,0.5330651987804593
BernoulliNB,0.4994661187020058,0.5706763278907961,0.520934062623865,0.6793898889574193,0.6824846810016527,0.5180420314305993,0.705038005611358,0.7052589436828332
CalibratedClassifierCV,0.4659392561672434,0.5276735551833025,0.5538314301625035,0.6653410144516692,0.6297675011377337,0.6411005337344231,0.644102303499468,0.6450874952801463
DecisionTreeClassifier,0.3257158078812752,0.3992558103529693,0.3905482212903411,0.3691925027977594,0.3010002235576352,0.3641814278593511,0.4076833500410066,0.3998110418322415
DummyClassifier,0.0608770917484131,0.0608770917484131,0.0608770917484131,0.0608770917484131,0.0608770917484131,0.0608770917484131,0.0608770917484131,0.0608770917484131
ExtraTreeClassifier,0.270611097616303,0.3909136588888061,0.3306780862275091,0.25223098123767,0.2283612467664162,0.2404391766067005,0.2810722101714014,0.274299025713245
ExtraTreesClassifier,0.4166462333810078,0.5691915793286224,0.5260701844618817,0.4765999135027098,0.4105798706078374,0.4335696536914459,0.5017378591070418,0.4727578565845393
GaussianNB,0.4692120771188934,0.5713282500228618,0.507583382041007,0.6354595188219118,0.6102016438762969,0.5288252421639457,0.6610987938006009,0.6656262914404435
KNeighborsClassifier,0.4135607045704933,0.5610742732823507,0.540795462558503,0.597460445827446,0.5289586001212886,0.5872849267045502,0.6070657056761759,0.6052750815443191
LGBMClassifier,0.5165815755141843,0.6226400548915119,0.5831464359759088,0.6607129411355255,0.5526992144229392,0.634738474060844,0.6043311060656766,0.606299678895527
LabelPropagation,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901
LabelSpreading,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901,0.0357843137254901
LinearDiscriminantAnalysis,0.3901340567485257,0.423663383421998,0.4609013026475389,0.5312530282000045,0.542027503062785,0.5063579072694789,0.52540232599018,0.528158641944836
LinearSVC,0.518080173613751,0.548909622503144,0.5710425094550526,0.6083194690135578,0.6042324361847593,0.5812563856416898,0.6289209500976672,0.634114228737489
LogisticRegression,0.5743772428524256,0.6270649139313756,0.6404343850571177,0.6496941213562715,0.6875381227828996,0.6236943264420616,0.6724456028561467,0.6769920035936594
NearestCentroid,0.4867943792651964,0.5753236063384274,0.5049657631864832,0.6520105935771721,0.6683552932152765,0.520052684887059,0.6839628897098758,0.6893614523676763
PassiveAggressiveClassifier,0.5445631858608624,0.5629512932429017,0.5925780182673577,0.6260679352770318,0.6367301950218132,0.5884487514610559,0.6568217362210096,0.6551049964640902
Perceptron,0.5077101534537982,0.520182529562908,0.5889491960225781,0.5903815209417127,0.6172673647726913,0.5715934733776271,0.6438247522264502,0.6257986900738435
RandomForestClassifier,0.4481776281158927,0.5703665337733406,0.5217320363043875,0.4770567565734509,0.420194447361979,0.4419198782404857,0.502059687130455,0.477949245191402
RidgeClassifier,0.3752551394123301,0.6036365869913646,0.4487444235578401,0.5763689182751511,0.4759175856617265,0.5905730189849077,0.5008086969391978,0.4906488382446732
RidgeClassifierCV,0.44839897105683,0.6177691949756299,0.5150254999718301,0.6489903960584029,0.5193235395966646,0.6291646444710397,0.5384940454367728,0.5352731386960617
SGDClassifier,0.5609565936845184,0.5955170580310836,0.6460437989959728,0.6946136540175454,0.685398436208081,0.6413604905989407,0.6788118803267802,0.6812934414221903
SVC,0.590402450766381,0.6372009529530999,0.6340437001428454,0.7052620100524433,0.6773183898403501,0.6975689079680985,0.6890368713164844,0.6895474283237442
XGBClassifier,0.5407023231992405,0.6297080706552928,0.6108261719780619,0.6729980734741735,0.6324071133816362,0.6506844392158235,0.6397973281794409,0.6496854898481257
