Model,0,1,2,3,4,5,6
AdaBoostClassifier,0.1335981357629252,-0.0062413114171924,0.118362072457107,0.2290329318845461,0.2525541845023015,0.2928829633445574,0.223234337931936
BaggingClassifier,0.1396063268769454,0.270345882257013,0.2413407489195724,0.3161817767816786,0.3144778337842905,0.3188954623594359,0.313630955680317
BernoulliNB,0.0776575314588625,0.1542946482735598,0.1559574078994506,0.30436135064821,0.3216484957653521,0.3104418807010242,0.3027222644723955
CalibratedClassifierCV,0.0646469713905188,0.1727267460361794,0.1885905467440108,0.296234685554725,0.3089877655258362,0.3658036908848638,0.3582929110654231
DecisionTreeClassifier,0.0776579942597894,0.2436381876569156,0.1925365459572276,0.2261740886785051,0.239189386570527,0.2143979915575399,0.2295107710304929
DummyClassifier,-0.0052910052910052,-0.0052910052910052,-0.0052910052910052,-0.0052910052910052,-0.0052910052910052,-0.0052910052910052,-0.0052910052910052
ExtraTreeClassifier,0.0591427311996741,0.1723691312641613,0.1754198028051041,0.0818889659225612,0.0638912701749798,0.140916776801188,0.155032406185619
ExtraTreesClassifier,0.1606152942887581,0.2919963641392358,0.2932945235495433,0.2258331892722122,0.2033139844459965,0.2949269072533705,0.2966073024092436
GaussianNB,0.0768790495118559,0.2436619230165148,0.1467332466404501,0.3052170437763521,0.2861414848178766,0.3439549817651872,0.3274219675346557
KNeighborsClassifier,0.1272104150202286,0.255568754294361,0.2390816538745251,0.3011191206537705,0.3031523227960003,0.3066586842082329,0.325469392315905
LGBMClassifier,0.1322015659494825,0.2139961720552105,0.2369973531608343,0.30214408051939,0.2888359067102721,0.3386296957398267,0.3187319504624065
LabelPropagation,0.0001541408767823,0.0001541408767823,0.0001541408767823,0.0001541408767823,0.0001541408767823,0.0001541408767823,0.0001541408767823
LabelSpreading,0.0001541408767823,0.0001541408767823,0.0001541408767823,0.0001541408767823,0.0001541408767823,0.0001541408767823,0.0001541408767823
LinearDiscriminantAnalysis,0.0341222132766346,0.0742519711349578,0.1682940954965303,0.3040393523083482,0.248166068599225,0.2993059244061306,0.2906137827657665
LinearSVC,0.0499832200131064,0.1178289154750071,0.145805710429413,0.2845944492406849,0.2522592431751654,0.3090085778103039,0.3088357242127884
LogisticRegression,0.0495652125973797,0.1390269427693787,0.1149611245735507,0.2819355425815792,0.2574979325248485,0.3089442357623073,0.3011900646297351
NearestCentroid,0.0798420444538436,0.1741550087541006,0.1590964376110926,0.3146828493145824,0.3195302841382834,0.3330560878517554,0.3185368771337619
PassiveAggressiveClassifier,0.02998539648315,0.1120061612369573,0.1464579507926394,0.2611914484330982,0.2424476915751548,0.3039749623059113,0.3115644587332045
Perceptron,0.0422766973812387,0.1320977104629318,0.130578140898739,0.2451572182054912,0.2480916152124643,0.2975219217188584,0.290330522990919
RandomForestClassifier,0.1454372488924498,0.3079908841134136,0.2944372891720677,0.2363389028376662,0.2474630076353483,0.2963478113396466,0.3000518882869398
RidgeClassifier,0.0453277246724948,0.0423845577357445,0.1722459426191177,0.2604035078453316,0.2549048409494407,0.3084647309750487,0.3051780874105131
RidgeClassifierCV,0.0461801668391556,0.0749899624424845,0.1977725093136202,0.2881440742460716,0.2723966556071237,0.3157399495017891,0.3114231036218264
SGDClassifier,0.069982242401944,0.1560946410518515,0.1374871586366007,0.3001205611843882,0.2829937055717518,0.3329481772349354,0.3230965212188103
XGBClassifier,0.0885770167933593,0.1804450272913066,0.2405710596793527,0.2765854344841963,0.2966115801297251,0.3348651598735849,0.3275562470474962
SVC,0.05772871398951285,0.19608780285897243,0.20010974721083208,0.27244107119278604,0.2707303722140969,0.2902553955833028,0.284474203458408
