Model,0,1,2,3,4,5,6,7
LogisticRegression,0.9522411316290272,0.9531416544309472,0.9624430735682108,0.9778005453563198,0.9813887622191141,0.9723726792709929,0.9818432495140558,0.9818432495140558
LinearSVC,0.951385200396064,0.937763586502637,0.9589663021611907,0.9778322579923426,0.9795510296544805,0.9697919740072234,0.9779486705571065,0.9779486705571065
PassiveAggressiveClassifier,0.9486470514804026,0.9464927541814905,0.9566802524296945,0.9786872473648373,0.977796127474023,0.9725113748495217,0.9810994379953863,0.9810994379953863
Perceptron,0.9471197129489543,0.9418864978369685,0.9573558744523119,0.9822088668824627,0.9732332080182025,0.9680394124008813,0.980381775714975,0.9808598657441397
CalibratedClassifierCV,0.9417196721734321,0.9537806474862756,0.9484601439817638,0.9801956546424074,0.97818301655632,0.9715806911181062,0.9833341334698869,0.9833341334698869
SGDClassifier,0.9408986119573959,0.9386694057032597,0.9509632106739361,0.9722506914265111,0.9675666659058567,0.9620524840059013,0.9774293715618425,0.9785379421224883
SVC,0.9402391189957926,0.9575069647474846,0.9521308293123493,0.9731365613058578,0.9767306840759009,0.9675508828554273,0.9765905363393796,0.9778105363242865
LGBMClassifier,0.9269100035038669,0.956118624032334,0.9402311797096277,0.9630215197407208,0.9402166771897369,0.9379849097692382,0.9606775220319653,0.9609622351774085
XGBClassifier,0.9227574526290381,0.9554261880194422,0.9382744311417376,0.9679730992953051,0.9402521857795625,0.9317859306642614,0.9546527442566907,0.9504621757013816
LinearDiscriminantAnalysis,0.9121419208071287,0.8088687824725159,0.8984538658270409,0.9376603705621063,0.9697712299022829,0.9243930288370861,0.9697451348096433,0.9708892500570444
RandomForestClassifier,0.9008655612927446,0.950337308805452,0.9228897187925774,0.964887260166002,0.9196525974855415,0.9200067195506101,0.948373790396664,0.9503353215598773
NearestCentroid,0.8978736508546288,0.9206685817735935,0.8512800273307682,0.9172356986501506,0.9001688264041204,0.8366080201067927,0.9394940390289304,0.9383782084008594
BernoulliNB,0.8870749511499895,0.9073833621728358,0.722613023677062,0.921975873389898,0.9040385026665732,0.8294725538425288,0.9327610801831214,0.9345384800981025
ExtraTreesClassifier,0.8837682797945184,0.9363732147200391,0.9193468778696051,0.9545770706761418,0.9198213507591012,0.912318473650544,0.9477638855552908,0.9462118596802641
RidgeClassifierCV,0.881554138109156,0.9528327451886526,0.9167284892861016,0.9519253782214653,0.9530764812225906,0.9475417140562072,0.9664779791786915,0.9687717815789638
RidgeClassifier,0.8670813135977777,0.9221926302052488,0.8695017599030376,0.9360938805795692,0.9500281022985566,0.9104592127597515,0.9625282216056249,0.9625282216056249
KNeighborsClassifier,0.8662953029359898,0.9583006697212617,0.9504148802152725,0.9504300709173317,0.9254193555409262,0.9295104937926488,0.9555039258868453,0.9555039258868453
BaggingClassifier,0.8501059901289892,0.9075972645863647,0.8803607051820969,0.9456516483920805,0.8175160275084272,0.8596088319956833,0.909392021978174,0.9172299741856216
GaussianNB,0.8488611140926613,0.9181862080454251,0.6336307780580226,0.9270438490011049,0.8973260194987362,0.854040993361705,0.9404182058580863,0.9412226547610925
DecisionTreeClassifier,0.6910004369636942,0.848120683102135,0.7631217482932067,0.8147613699818214,0.7225446751518665,0.771403543388618,0.8256631657797021,0.8248262807886755
ExtraTreeClassifier,0.5833539944744356,0.730893741373919,0.6720883994972265,0.6417082919787052,0.49792237295136293,0.6229748445000591,0.6788336546292303,0.5979293318175617
AdaBoostClassifier,0.4611652008040048,0.6137633481282908,0.5145298820733479,0.8391231628048776,0.6747018443235783,0.43716590512977527,0.4765745730827956,0.4551262450322132
DummyClassifier,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085
LabelPropagation,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085
LabelSpreading,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085,0.10614136732329085
