Model,0,1,2,3,4,5,6,7
BaggingClassifier,0.15847466518693143,0.2255844898415038,0.35165999764975175,0.4363591301844679,0.4641535751858613,0.3522340110447667,0.45677866121683747,0.44040505054169443
KNeighborsClassifier,0.1529880951207384,0.15569885747422774,0.15900501785014887,0.19788118789233633,0.5998309623269467,0.1743688502067927,0.26296832799604375,0.2594666811721702
ExtraTreeClassifier,0.15201064026438876,0.24135739810969414,0.3049040414496917,0.26557160912400074,0.246259830679941,0.25668898223701697,0.37315018273049927,0.2692185827602045
GaussianNB,0.10657170788442871,0.2028048012223005,-0.11466399528677518,0.40099437683463535,0.3849726187827912,0.36994340292534517,0.37624505355317406,0.3668383539291371
DecisionTreeClassifier,0.10202085150838724,0.275105598345983,0.31843290471998176,0.42309434469576224,0.4201914785045603,0.39081207130250445,0.4075322199098958,0.4732001946804979
BernoulliNB,0.09525343211417192,0.16019158810422363,-0.03879538438045971,0.35025634122319615,0.29171300621528673,0.28374967300104403,0.3036463046145407,0.29977124055190485
NearestCentroid,0.09249134060401032,0.1593354962256236,0.07047197753510526,0.3460754179162109,0.26386494703142005,0.27250170684427677,0.28815793735683715,0.2915053690608407
ExtraTreesClassifier,0.08588189101776,0.10687641078101229,0.2610274196747637,0.3483690731576009,0.5859881289483199,0.34238105771919314,0.4018702940369622,0.4302241917898365
RandomForestClassifier,0.08525776306952271,0.1323597492377061,0.2618837789889511,0.3493622791059191,0.5396601241451122,0.336181999259502,0.4333491783123674,0.43757072342677594
AdaBoostClassifier,0.06529841308165041,0.06079037772959983,0.014039408121413466,0.34982690934686456,0.28479753143607045,0.025972851785786732,0.027214737636938935,-0.005872228012210712
LinearDiscriminantAnalysis,0.062281556615142564,0.016323835191956904,0.053531706261443546,0.3189689920394436,0.3071767549101838,0.3322296164916563,0.22810658628502,0.21030836094401328
LGBMClassifier,0.05442573415368912,0.09166066807610684,0.1226100249045079,0.25038540834835255,0.36827450391356786,0.23516794041569888,0.259581234729942,0.25348950265660863
XGBClassifier,0.045513837054349415,0.08989117669360625,0.11626352740826651,0.2507207422121208,0.34722660064079525,0.22182421176773048,0.22505126450401447,0.20915638637962264
LinearSVC,0.03790722508943645,0.053971954866429805,0.04376070459224257,0.2664592031056524,0.2301517814798485,0.2554447289792944,0.13483666933136707,0.13809465770242335
Perceptron,0.03316973899994835,0.05188102967687258,0.08114217477999242,0.25865521466006913,0.22450012419594545,0.25436787583944076,0.16129910655035784,0.1442456439957669
PassiveAggressiveClassifier,0.03169393904699891,0.05282368763934464,0.04879765284898174,0.24887193625263926,0.19282691067138402,0.2548702762631474,0.1317915615831915,0.12947595291523717
CalibratedClassifierCV,0.02790902262336381,0.047696166263009654,0.037063263961292336,0.22608937893387127,0.232136664907587,0.22342324173922334,0.15195330271703822,0.15231901001794446
SVC,0.026967759386665513,0.04967314617369767,0.04606242701787855,0.17421920104734434,0.24851319853396503,0.1797699603909363,0.1450488970076209,0.14316039739654773
RidgeClassifierCV,0.023509254930955903,0.13219591620354265,0.09749493164975842,0.32063716164371636,0.33215033432290275,0.30332822567971607,0.23537886871164648,0.2445109397611842
LogisticRegression,0.019724907551668225,0.05489940864821996,0.04022165754662499,0.22022073530634545,0.18325597957759543,0.21521140183024956,0.11729870487062077,0.1192796475033785
RidgeClassifier,0.01922396791643055,0.18127014192240876,0.061596276085721935,0.3898132891538181,0.3363880945100366,0.34840586529589423,0.2368876601426937,0.24620717013024884
SGDClassifier,0.015057007010230827,0.045505395485332056,0.060910244142935444,0.24673309308282576,0.22977042866371455,0.22426379904514615,0.1531267398698717,0.1495293748470523
LabelPropagation,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678
DummyClassifier,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678
LabelSpreading,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678,0.007887583854140678
