Model,0,1,2,3,4,5,6
ExtraTreeClassifier,0.16097346758462822,0.1989511951125501,0.276992102657598,0.24922968528206396,0.25694169236110614,0.30323205267167624,0.35643093856324815
BaggingClassifier,0.13599158317736382,0.20576265377483394,0.2809284810975494,0.42273320034727735,0.4316115013889004,0.442941807582667,0.4706380236954615
KNeighborsClassifier,0.13451341270601525,0.12666045446972474,0.10641708655403648,0.22641125859694133,0.22029648494994525,0.240415756431114,0.24928926610069801
DecisionTreeClassifier,0.12212734678604897,0.27457480896118613,0.37645773000818106,0.42690454730535066,0.48723301886117876,0.4654616602993054,0.43704419816142254
GaussianNB,0.11035997458185887,0.2005104027204362,-0.1169626571085921,0.3048461542891536,0.30882126695006995,0.37427755689482733,0.3598431826424737
BernoulliNB,0.10303735252408486,0.1637310468917309,-0.012241083021555355,0.2589993396325643,0.26754378922421806,0.3007981582485174,0.30606785732515374
NearestCentroid,0.09739895384847508,0.16347236822260636,0.08606148386093271,0.25355373826931926,0.2550914679291254,0.2811655974183285,0.2856791889170296
ExtraTreesClassifier,0.09080897444446534,0.09878073758669792,0.22380362019193623,0.3908462295041759,0.38115059317126976,0.42072388263224836,0.39769432025196405
RandomForestClassifier,0.08826160826656526,0.1214030283699451,0.22180899844774882,0.37128697796110866,0.38285462359932976,0.4248897202716797,0.3919398351435136
AdaBoostClassifier,0.06496150080697444,-0.21809346889044645,-0.06632529945679261,0.14237877444337188,-0.038170618716151516,0.01343902476345532,0.040033625116644767
LGBMClassifier,0.05484887817983353,0.08190402994834678,0.10018512167382199,0.22050177866408271,0.22199532268576916,0.2412104232947041,0.2451377063266179
XGBClassifier,0.04688413825195836,0.08215501846528117,0.08582416314348407,0.18918846744336115,0.19606054232169756,0.22615138853817562,0.2172371385392453
LinearDiscriminantAnalysis,0.039038526497157555,0.10962999708521948,0.05531854622394028,0.1927122526782541,0.19184037917782315,0.21112119104313054,0.20439667838481468
RidgeClassifierCV,0.031150897630483954,0.09579868889640153,0.09021171055455535,0.21312651255333293,0.2220142163074046,0.22496969643290765,0.22785891908494327
RidgeClassifier,0.028645877069424674,0.15893459876671923,0.07218429530004189,0.2225898260035768,0.24206503097515697,0.2286650063771084,0.23197737663557416
SVC,0.022790337674855943,0.04265068128285887,0.040488622284381215,0.10461408124548888,0.10140579462639077,0.13500395400911036,0.13501287907792137
Perceptron,0.02014711848166062,0.05856832897808473,0.04162967726813871,0.12075782369978227,0.14455571491616848,0.14941639144805696,0.1421607321633337
SGDClassifier,0.017776949005255616,0.06204089611384689,0.039785509605055225,0.11439250413147062,0.11502566390311009,0.14588061265647934,0.1365557927293537
LinearSVC,0.016582515173467316,0.06313128906279708,0.04755185580961274,0.11994452550301937,0.12384977205866399,0.12537252446025637,0.12817041293007658
PassiveAggressiveClassifier,0.011329343600337105,0.052723480133512135,0.0473300679517662,0.11954466473289227,0.11743293661552567,0.1167703335583975,0.10951576351563119
CalibratedClassifierCV,0.008605201412716035,0.03735987977928834,0.042664703240320456,0.10202761795520021,0.11327424329882185,0.13469404891425285,0.13686195335561402
LogisticRegression,0.0058937073458024125,0.05489535792420541,0.03395913546848839,0.09999911859788924,0.09887260885536064,0.11129297105830793,0.11274980452641126
LabelPropagation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DummyClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LabelSpreading,0.0,0.0,0.0,0.0,0.0,0.0,0.0
