Model,0,1,2,3,4,5,6
LogisticRegression,0.932516224077359,0.8982422457827273,0.9177855765318725,0.8677069442160823,0.871125854602651,0.861713472443185,0.8593933718962206
SGDClassifier,0.925841604947165,0.8880118453878281,0.9054942447895618,0.8484216050479636,0.8458431268238714,0.8181560673726596,0.8315702045903389
PassiveAggressiveClassifier,0.9169531124334037,0.8966871947247368,0.9075090191351141,0.8502792006502651,0.851613371121392,0.8508752546646974,0.8568508708457182
Perceptron,0.9139499739490059,0.8945071726856405,0.9106473317894327,0.8423459306045531,0.8227666778926862,0.8165663100952651,0.8256088234921869
CalibratedClassifierCV,0.9138106495500683,0.9060844812232659,0.907265642389091,0.8602059833413964,0.8561524509926567,0.8331776379440422,0.8310151234519424
LinearSVC,0.9134779753066276,0.8837916316362072,0.9136489407395944,0.8448646530300733,0.8455886838057314,0.8423475858848981,0.8403216386917671
SVC,0.9132713596091271,0.907833818573787,0.9096473480850454,0.8582506854170736,0.8613997004350624,0.8315416393317587,0.8346501389277388
XGBClassifier,0.8772436155746887,0.8577357050860865,0.8542539026817447,0.7657258984735631,0.7634908287891118,0.7264584611094105,0.734233599594259
LGBMClassifier,0.8724842693501778,0.868330195951428,0.8418362594929631,0.7353597304615451,0.7332994508826914,0.7170305739934122,0.7108884043408302
RidgeClassifierCV,0.8580448831782,0.8237643544496802,0.8262083308795599,0.7553853173358556,0.7356043823407786,0.729226496936396,0.7240423877325689
LinearDiscriminantAnalysis,0.8498603641919862,0.7999063292499928,0.8539678110485728,0.7734565156599744,0.778246317197538,0.7456797385214723,0.757622752016669
RidgeClassifier,0.8478573456813472,0.7436565403889419,0.8272310102388584,0.7413136476961905,0.7161683554525656,0.7249434938105422,0.7167738003539431
RandomForestClassifier,0.8156077982232219,0.7989831475891511,0.6898525659411254,0.5659455410321295,0.5512203685623281,0.5126129941290091,0.550477882491958
NearestCentroid,0.8053823102506185,0.7597842569933106,0.7762666051553844,0.6593312031960481,0.6614863981691561,0.6513361016720932,0.6468728393400187
ExtraTreesClassifier,0.7978863887767584,0.8189447317346911,0.687659016345129,0.5521982376573809,0.5582852443006904,0.5176824409458655,0.5439091156881821
BernoulliNB,0.7918215190358175,0.7488474320529953,0.7606796518306826,0.6549760107039162,0.6513660377010604,0.6306649086860104,0.6341205664896387
GaussianNB,0.7422894062082326,0.7153814068231246,0.7359384915420562,0.6182402949089247,0.60863389372144,0.5644953438012262,0.5743843008319554
KNeighborsClassifier,0.7133072078152514,0.8022557017184238,0.8144684438752631,0.7084509354363491,0.7164075166033755,0.6935033253370244,0.6953117279659604
BaggingClassifier,0.6916313249420578,0.6857694484131054,0.6037920791505009,0.4584187933627105,0.46716362691288466,0.4766196723119124,0.4282874093454506
DecisionTreeClassifier,0.5889795854553069,0.5326697647103883,0.4190169975132062,0.38868096424736887,0.33558630742572004,0.372112832503482,0.4016933691603695
ExtraTreeClassifier,0.4313433542100468,0.46669599763053304,0.33147081884856233,0.35509945391591774,0.3281260882399753,0.3407344943022645,0.3095269237407924
AdaBoostClassifier,0.3958667877223544,0.5564613729220673,0.5224730596880993,0.44967516870886104,0.4663029851767842,0.47085170205358723,0.45965334233348054
DummyClassifier,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
LabelPropagation,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
LabelSpreading,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
