Model,0,1,2,3,4,5,6,7
AdaBoostClassifier,0.081698667550596,0.1112870171868206,0.1144094764960462,0.2463462570670352,0.2338078716458234,0.289099545966308,0.2425866898050983,0.2325190023494631
BaggingClassifier,0.1330728586862982,0.2873034364198367,0.2516901779045213,0.3355416617154085,0.2481015049857214,0.2530567820409242,0.3666145356511137,0.3423079536753242
BernoulliNB,0.0967851844684299,0.1619611964956557,0.1316894340937295,0.417588632390921,0.3292737633738397,0.2726484575461602,0.3654076561600283,0.3696526091178319
CalibratedClassifierCV,0.0406144908765299,0.1474462968721507,0.1755153536313169,0.4630824177355691,0.3820671470585622,0.4506270474886237,0.3537306589553174,0.3615669998824236
DecisionTreeClassifier,0.0985034416827023,0.1943385095753234,0.1844318913137446,0.2184944081881024,0.1610783069279331,0.2036228263569089,0.2333022833563749,0.2200157612911663
DummyClassifier,-0.0014896459914589,-0.0014896459914589,-0.0014896459914589,-0.0014896459914589,-0.0014896459914589,-0.0014896459914589,-0.0014896459914589,-0.0014896459914589
ExtraTreeClassifier,0.069779593285258,0.2011092080034346,0.1319493137080687,0.0919884534586602,0.0900750864499289,0.0989991553384699,0.1249863801955672,0.1199226564039461
ExtraTreesClassifier,0.1437170336426545,0.3115024788970637,0.2887552407062447,0.2893512032919085,0.252696500248218,0.259271512245734,0.3143064768155232,0.2989006487389223
GaussianNB,0.123528775976312,0.2476909949132029,0.1258919630195208,0.4007967218310873,0.3594096682432064,0.3134182787884294,0.3736545764528677,0.3712093130913492
KNeighborsClassifier,0.1127020090972241,0.2808298041418083,0.2549442697931736,0.334175646342103,0.3260642999474579,0.3319822854410416,0.3641678022314048,0.3610122464426012
LGBMClassifier,0.0935413721984387,0.2100039425615436,0.2224693131410574,0.4143362121994905,0.2916977662524935,0.3669718732002852,0.301000404563881,0.3131492965164471
LabelPropagation,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199
LabelSpreading,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199,-0.003057917828199
LinearDiscriminantAnalysis,-0.0111893264816325,0.0864558283701442,0.1380604460298473,0.3010058619999255,0.3160996750652557,0.3021404792632642,0.2479235250530125,0.2533235031979053
LinearSVC,0.0489731626199786,0.1325820278456054,0.1742813404372178,0.3110254755355349,0.3098480752336889,0.3291567602272593,0.2942860574590081,0.3030233151979592
LogisticRegression,0.0359430545504699,0.1894838259526123,0.1748663803780202,0.3386005025316967,0.3362134400985694,0.3498250112348604,0.2896507889596812,0.2960850630465487
NearestCentroid,0.0830141085116956,0.1754024517863189,0.115330459537159,0.3956443912143891,0.3159974417709379,0.2858221401296083,0.3559326553968951,0.3574857663838411
PassiveAggressiveClassifier,0.0528881672240258,0.1187508080501784,0.1836008952534681,0.3279048535866241,0.3209285822758628,0.3000306622245726,0.3113175003782614,0.3086411476408774
Perceptron,0.0286874650750877,0.1004858947898472,0.180325945921694,0.2967769961348114,0.313272839935922,0.3004535475650512,0.3080759528806572,0.2864292014685135
RandomForestClassifier,0.1519473341608733,0.3189538493827602,0.287244099199354,0.3105188343746961,0.2542978324474497,0.2682855478571794,0.3051880922926951,0.2865737777665449
RidgeClassifier,-0.0124989621308126,0.2183152666560859,0.1344473650016044,0.2962544227120564,0.2509001210430621,0.3281160278144724,0.2599330550494288,0.2441122161936518
RidgeClassifierCV,0.0321336199571155,0.171546713779984,0.1734452996769641,0.346702649638479,0.2911004357626418,0.3396371414709966,0.2739294983185605,0.2769762227782427
SGDClassifier,0.0570173813620629,0.1502620888682206,0.1901320958122898,0.4043834891465955,0.3416147925315502,0.3469536549949105,0.3201529673839339,0.3279105364457934
SVC,0.0777539340284716,0.1694338396672224,0.165263971123769,0.3662793758956572,0.3155791198058892,0.370530826917111,0.2898473272613931,0.2884364326770771
XGBClassifier,0.0665707893712309,0.2025890784848117,0.1999266054499444,0.3754459628519782,0.3190192740612606,0.3445561600069866,0.3119488258517648,0.3197535885787133
