Model,0,1,2,3,4,5,6,7
AdaBoostClassifier,0.2670846183189457,0.2509271132648975,0.2146898170143276,0.163745915701693,0.2015869752202131,0.1245914381527922,0.1712092708653221,0.1688648661195438
BaggingClassifier,0.2753338161623703,0.2460232938838314,0.2449209286173335,0.1832847810530839,0.1629171306316138,0.1781189668675649,0.1623499544869548,0.1907572451051351
BernoulliNB,0.4026809342335759,0.4087151313951404,0.3892446285301354,0.2618012565664983,0.353210917627813,0.2453935738844391,0.3396303494513296,0.3356063345650012
CalibratedClassifierCV,0.4253247652907134,0.3802272583111518,0.3783160765311865,0.2022585967161,0.2477003540791715,0.1904734862457993,0.2903716445441505,0.2835204953977226
DecisionTreeClassifier,0.2272123661985728,0.2049173007776458,0.2061163299765964,0.150698094609657,0.1399219166297021,0.1605586015024421,0.1743810666846317,0.1797952805410751
DummyClassifier,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872
ExtraTreeClassifier,0.2008315043310449,0.1898044508853714,0.1987287725194403,0.1602425277790098,0.1382861603164872,0.1414400212682305,0.1560858299758341,0.1543763693092989
ExtraTreesClassifier,0.2729291997383533,0.2576891004315587,0.237314943755637,0.1872487102108012,0.1578833703596194,0.1742981414457119,0.1874313822915185,0.1738572078456169
GaussianNB,0.3456833011425814,0.3236372551096588,0.3816914190214861,0.2346627969908245,0.2507919756330904,0.2154069633755162,0.2874442173477332,0.2944169783490942
KNeighborsClassifier,0.3008586954732691,0.2802444691405424,0.2858511927653294,0.2632847994853429,0.2028943001738306,0.2553026412635086,0.242897903444771,0.2442628351017179
LGBMClassifier,0.4230402033157455,0.4126361123299682,0.3606771228348513,0.2463767289360349,0.2610014481704457,0.2677666008605588,0.3033307015017956,0.29315038237908
LabelPropagation,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892
LabelSpreading,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892
LinearDiscriminantAnalysis,0.4013233832301582,0.3372075550518538,0.3228408566176916,0.230247166200079,0.2259278279975292,0.2042174280062146,0.2774788009371675,0.2748351387469306
LinearSVC,0.4691070109937723,0.4163275946575386,0.3967611690178347,0.2972939934780229,0.2943843609510704,0.2520996254144304,0.3346348926386591,0.3310909135395298
LogisticRegression,0.5384341883019557,0.4375810879787633,0.4655680046790975,0.3110936188245747,0.3513246826843301,0.2738693152072012,0.3827948138964655,0.3809069405471106
NearestCentroid,0.4037802707535007,0.3999211545521084,0.3896353036493242,0.2563662023627829,0.3523578514443386,0.2342305447574507,0.3280302343129807,0.3318756859838352
PassiveAggressiveClassifier,0.4916750186368365,0.4442004851927233,0.4089771230138895,0.2981630816904076,0.3158016127459503,0.2884180892364833,0.3455042358427481,0.3464638488232127
Perceptron,0.4790226883787105,0.4196966347730607,0.4086232501008841,0.2936045248069013,0.3039945248367693,0.2711399258125758,0.3357487993457929,0.33936948860533
RandomForestClassifier,0.2962302939550194,0.2514126843905803,0.2344879371050334,0.1665379221987548,0.1658966149145293,0.1736343303833063,0.1968715948377598,0.1913754674248571
RidgeClassifier,0.3877541015431427,0.3853213203352786,0.3142970585562357,0.2801144955630947,0.2250174646186644,0.2624569911704352,0.240875641889769,0.2465366220510214
RidgeClassifierCV,0.4162653510997144,0.4462224811956458,0.341580200294866,0.3022877464199239,0.2282231038340227,0.289527503000043,0.2645645471182122,0.258296915917819
SGDClassifier,0.5039392123224555,0.4452549691628629,0.4559117031836829,0.2902301648709499,0.3437836436765308,0.2944068356040302,0.3586589129428462,0.3533829049763968
SVC,0.5126485167379093,0.4677671132858774,0.4687797290190764,0.3389826341567861,0.3617392700344608,0.3270380810509874,0.3991895440550912,0.4011109956466671
XGBClassifier,0.4741315338280096,0.427118992170481,0.4108995665281175,0.2975521106221953,0.3133878393203756,0.3061282792088369,0.327848502327676,0.3299319012694124
