Model,0,1,2,3,4,5,6
AdaBoostClassifier,0.400682754081871,0.266217298072448,0.353995267558182,0.419777132129972,0.4363008663346933,0.4527095546358765,0.3797968787738651
BaggingClassifier,0.4149401430393157,0.5201180586631522,0.5032278412278215,0.5039143598637202,0.5118101118457352,0.4914275594102239,0.4980168401190568
BernoulliNB,0.4803384656924384,0.5678179917614684,0.5424631568268159,0.6606248026205377,0.6687263050386114,0.6503545181828777,0.639042260750566
CalibratedClassifierCV,0.4899717366812323,0.5567131445583277,0.5689957495365191,0.6390841061262342,0.6398716287754513,0.6549195212808712,0.6392922780306707
DecisionTreeClassifier,0.3048703604583623,0.4383634747899502,0.4002435430165184,0.3952523814347473,0.3976100663279638,0.3927135408511059,0.3840621236715679
DummyClassifier,0.0570757324488667,0.0570757324488667,0.0570757324488667,0.0570757324488667,0.0570757324488667,0.0570757324488667,0.0570757324488667
ExtraTreeClassifier,0.259974235530719,0.3566173778505143,0.3352170009597935,0.2345592289732103,0.2414813763038217,0.2913493995418321,0.3058824990962677
ExtraTreesClassifier,0.4335444940271114,0.5506159906747612,0.5306667994836017,0.4158296597112951,0.4018692271641634,0.4753651706276133,0.4726707816708846
GaussianNB,0.4225623506544374,0.567947656845978,0.526347014865205,0.6180732103484401,0.5976157364284213,0.6313976367410016,0.6219798992604509
KNeighborsClassifier,0.4280691104934978,0.5361090117569258,0.534983807358955,0.5586629965966836,0.558280198862142,0.5471574003644393,0.569612220072207
LGBMClassifier,0.5552417692652281,0.6164998991343262,0.6077131574980589,0.6256966691747993,0.5998554123441189,0.6268900953296547,0.6252788650167802
LabelPropagation,0.0389963724304715,0.0389963724304715,0.0389963724304715,0.0389963724304715,0.0389963724304715,0.0389963724304715,0.0389963724304715
LabelSpreading,0.0389963724304715,0.0389963724304715,0.0389963724304715,0.0389963724304715,0.0389963724304715,0.0389963724304715,0.0389963724304715
LinearDiscriminantAnalysis,0.4354455965067928,0.4248820449672771,0.4778303802780956,0.5953759398462528,0.5543016914388121,0.5801464968888457,0.5643880364010839
LinearSVC,0.5190902310068788,0.5300991925622858,0.5622238097632508,0.6271866151424752,0.6122786256159791,0.6443738351010726,0.6377712389257406
LogisticRegression,0.5879994008993354,0.5757584752306888,0.5897293762005753,0.6749272168534113,0.6586600706245056,0.6859311816067137,0.6824292474097806
NearestCentroid,0.4836223152073444,0.574076163306209,0.5500685001542766,0.6674006003071951,0.6805258589217393,0.661546553018272,0.650008130174269
PassiveAggressiveClassifier,0.5216604151199865,0.556798280737789,0.562127879346843,0.6313895253031557,0.6227618469126435,0.6499634502190916,0.6574557792233602
Perceptron,0.5212993857599493,0.5606879048016657,0.5558895206168466,0.6210772919620535,0.6172003343024675,0.6185972952212058,0.6288733742115258
RandomForestClassifier,0.4416675428474692,0.5749731896979005,0.5393844906926175,0.4339106102961588,0.441159904176324,0.494700244450303,0.4909017184419418
RidgeClassifier,0.4330818262156375,0.4453946172321325,0.4799001745263476,0.5530884819937152,0.5319472732526422,0.5484758742938808,0.5453036345278797
RidgeClassifierCV,0.46244551793887,0.5260583120143535,0.5202731311169682,0.5909966789424981,0.5604507464543694,0.5815436839620627,0.5717356716512113
SGDClassifier,0.5739214547243996,0.6038669298912256,0.6010779883757111,0.6724610052935225,0.655234743807733,0.6876600313615592,0.68031022148651
XGBClassifier,0.5627085506213689,0.6258006039703793,0.6325000214568293,0.6479704182693046,0.6391661212416339,0.661774794542515,0.6573838635092369
SVC,0.5703772307274222,0.6638549161448498,0.6629804302915303,0.6951250211100113,0.6893280097211703,0.6889174573950004,0.6858323530660033
