Model,0,1,2,3,4,5,6
AdaBoostClassifier,0.2670846183189457,0.2724586094896404,0.2356331951010749,0.1907442002454258,0.1837466818323918,0.159826591291319,0.156562540841929
BaggingClassifier,0.2753338161623703,0.2497721764061391,0.2618870923082491,0.1877325830820416,0.1973322780614447,0.172532097050788,0.1843858844387397
BernoulliNB,0.4026809342335759,0.4135233434879085,0.3865057489273653,0.3562634519723276,0.3470778092732593,0.3399126374818535,0.3363199962781705
CalibratedClassifierCV,0.4253247652907134,0.3839863985221482,0.3804052027925082,0.3428494205715092,0.3308838632496151,0.2891158303960073,0.2809993669652475
DecisionTreeClassifier,0.2272123661985728,0.1947252871330346,0.2077069970592908,0.1690782927562421,0.1584206797574367,0.1783155492935659,0.1545513526410749
DummyClassifier,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872,0.062366737739872
ExtraTreeClassifier,0.2008315043310449,0.184248246586353,0.1597971981546894,0.152670263050649,0.1775901061288419,0.150432622740644,0.1508500929106487
ExtraTreesClassifier,0.2729291997383533,0.2586196265355254,0.2373722759340583,0.1899964704390829,0.1985552427181668,0.1804382633742428,0.176063479261641
GaussianNB,0.3456833011425814,0.3242857338294632,0.3796137682247548,0.3128561665720879,0.3114742516105446,0.2874426549758143,0.2945579317257952
KNeighborsClassifier,0.3008586954732691,0.2805402574625648,0.2959021534844298,0.257543875942913,0.2551278760661417,0.2404987161562063,0.244142827756302
LGBMClassifier,0.4230402033157455,0.4025037270791157,0.3707158043372245,0.3235525886554092,0.3110195056338467,0.2882603995898279,0.3065469145543737
LabelPropagation,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892
LabelSpreading,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892,0.0388422315536892
LinearDiscriminantAnalysis,0.4013233832301582,0.3506300738323192,0.3095362847815653,0.2913365875379046,0.3061356228395871,0.2808405724827151,0.2737742536353174
LinearSVC,0.4691070109937723,0.4122702770872786,0.4164180993338378,0.3425921659017902,0.3600193824408137,0.3353652572907686,0.3289355147129522
LogisticRegression,0.5384341883019557,0.43673153246131,0.4747682516270245,0.392991674271832,0.4011621380996571,0.3769869458444064,0.3812391827800455
NearestCentroid,0.4037802707535007,0.3999211545521084,0.3909720625431839,0.3527177509926126,0.3609955747834559,0.3284904651665166,0.331471253040507
PassiveAggressiveClassifier,0.4916750186368365,0.4447921195008317,0.4156699285542036,0.3701980768700574,0.3803141553374886,0.3459884879131802,0.3458913204901556
Perceptron,0.4790226883787105,0.4285901943387339,0.4253113797181075,0.3759200737565623,0.3691087190900031,0.3210753735023473,0.3385428512206067
RandomForestClassifier,0.2962302939550194,0.2669823055844869,0.2449472015205498,0.1975717074584926,0.1936968965409756,0.1983524331106564,0.1908498301550019
RidgeClassifier,0.3877541015431427,0.4030100594963879,0.3076542319072298,0.2926849741483835,0.2770424323032014,0.2400111433188321,0.2401255471173665
RidgeClassifierCV,0.4162653510997144,0.451068349571869,0.3225006218033479,0.3028526046964264,0.2880540908472457,0.2658037344602736,0.2603125680293849
SGDClassifier,0.5039392123224555,0.4477722888393741,0.4635908297391104,0.3723404441091342,0.3722410382359812,0.3547118541266237,0.3572137002676997
XGBClassifier,0.4741315338280096,0.4453555766790726,0.3919289617774765,0.3713849837851082,0.3425545411119087,0.32690963466893,0.3298276164617407
SVC,0.5126485167379093,0.4677671132858774,0.46287068308069823,0.42268394991722524,0.41859763750707335,0.3986620618116976,0.4013581496075953
