Model,0,1,2,3,4,5,6
SGDClassifier,0.9436185539524207,0.950052741501675,0.945279754394617,0.9628141091794342,0.9608687907269815,0.9640366800291389,0.9681259973196926
LogisticRegression,0.9384099314231614,0.9531376037069327,0.9517447120003609,0.9677060628139715,0.9699984634580117,0.9730064435014929,0.9721431764226318
SVC,0.936061697283983,0.9504844998566458,0.9501359703694267,0.9628647666625625,0.9628054950614532,0.9665455933408691,0.9696630180056601
Perceptron,0.9340970924306665,0.9530755016637252,0.9522770090575714,0.9631037543043354,0.9673223928088547,0.9659827015433221,0.9677695556555206
LinearSVC,0.9300604904800949,0.9469229206990043,0.9612007965492071,0.9648091785330927,0.9694384558643954,0.9677201103451545,0.9684920516218437
PassiveAggressiveClassifier,0.9282824560337408,0.9494106748582489,0.9548390870868803,0.9698238653831573,0.9690463077369177,0.9676455882230949,0.9663666343613494
LGBMClassifier,0.9273331475300113,0.9502342258997748,0.9420213811667851,0.9558615091256278,0.9552947735684606,0.9582409972881163,0.9560261106674481
XGBClassifier,0.924127753826647,0.9398907235513677,0.9400780658252288,0.9549143659169242,0.9595513711108093,0.9526098496475861,0.9514707381335044
CalibratedClassifierCV,0.9224158509627843,0.9434443610025542,0.9499303456294115,0.9622336012965966,0.9694266942914785,0.967871686858295,0.9678770768075564
RandomForestClassifier,0.9038694064897872,0.9203861759590962,0.9116615643888742,0.9372325189932381,0.9340749921616579,0.9375027144006888,0.9424177176354716
NearestCentroid,0.9027812640990935,0.923256625215917,0.8623280890163171,0.9128849414653674,0.9165778660982815,0.9325016990904217,0.9325520282570483
BernoulliNB,0.8948588715599024,0.9125784789447262,0.7484385688091273,0.9139753503364805,0.9189098269252785,0.9314630669345279,0.9401884238147924
RidgeClassifierCV,0.889195780808684,0.9195630433460817,0.9164200414341153,0.9685118298891885,0.9576185986481832,0.9541961933693036,0.9519013068175122
LinearDiscriminantAnalysis,0.8888988906891437,0.9095363263352123,0.9092863572725131,0.9661687683382285,0.9700866963753612,0.9568009295646028,0.9620194304014836
ExtraTreesClassifier,0.8886953632212238,0.917725469321389,0.9114626365370653,0.9430444671615568,0.9394358374719601,0.9384063235781138,0.9416034359401462
RidgeClassifier,0.8765032227507719,0.9025911391556611,0.8994153055389003,0.9639034736997673,0.9582333864277226,0.9536085001876506,0.9487511769895173
GaussianNB,0.8526493807900914,0.9158918095435608,0.618975834433464,0.9230864491980784,0.9174551606715099,0.9387729006960536,0.9342274834744291
KNeighborsClassifier,0.8478206205212666,0.9289161561881485,0.9208855304292995,0.9348621940332904,0.9367040015533208,0.9339190817681384,0.9446009940666584
BaggingClassifier,0.8276229081194216,0.8915321021879393,0.8847205602480503,0.8811519937099879,0.8987751283017851,0.9195614798945794,0.8989254330409121
DecisionTreeClassifier,0.7111069322413559,0.8072445736715744,0.7954747275213873,0.8155855115527195,0.8228193262868988,0.8375744928027874,0.838737567321792
ExtraTreeClassifier,0.592316821794675,0.6656471927430831,0.6084629215061603,0.6043291391979817,0.5850677806010814,0.6439665469739407,0.6659578623040405
AdaBoostClassifier,0.46082828852932883,0.33836790403162087,0.4561477602313067,0.5920539431522329,0.4281323664606327,0.48429072681704255,0.4996869674501253
DummyClassifier,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
LabelPropagation,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
LabelSpreading,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
